Question,Filename,Answer
1,q22_variant_01.png,E
2,q22_variant_02.png,D
3,q22_variant_03.png,D
4,q22_variant_04.png,A
5,q22_variant_05.png,B
6,q22_variant_06.png,A
7,q22_variant_07.png,A
8,q22_variant_08.png,D
9,q22_variant_09.png,E
10,q22_variant_10.png,B
11,q22_variant_11.png,A
12,q22_variant_12.png,C
13,q22_variant_13.png,A
14,q22_variant_14.png,A
15,q22_variant_15.png,C
16,q22_variant_16.png,A
17,q22_variant_17.png,E
18,q22_variant_18.png,E
19,q22_variant_19.png,C
20,q22_variant_20.png,B
21,q22_variant_21.png,E
22,q22_variant_22.png,D
23,q22_variant_23.png,A
24,q22_variant_24.png,C
25,q22_variant_25.png,A
26,q22_variant_26.png,A
27,q22_variant_27.png,E
28,q22_variant_28.png,D
29,q22_variant_29.png,B
30,q22_variant_30.png,B
31,q22_variant_31.png,D
32,q22_variant_32.png,D
33,q22_variant_33.png,C
34,q22_variant_34.png,A
35,q22_variant_35.png,C
36,q22_variant_36.png,D
37,q22_variant_37.png,B
38,q22_variant_38.png,D
39,q22_variant_39.png,C
40,q22_variant_40.png,A
41,q22_variant_41.png,C
42,q22_variant_42.png,E
43,q22_variant_43.png,D
44,q22_variant_44.png,D
45,q22_variant_45.png,D
46,q22_variant_46.png,B
47,q22_variant_47.png,A
48,q22_variant_48.png,B
49,q22_variant_49.png,E
50,q22_variant_50.png,A
1,Q21_Matrix_01.png,D
2,Q21_Matrix_02.png,D
3,Q21_Matrix_03.png,D
4,Q21_Matrix_04.png,A
5,Q21_Matrix_05.png,B
6,Q21_Matrix_06.png,D
7,Q21_Matrix_07.png,E
8,Q21_Matrix_08.png,C
9,Q21_Matrix_09.png,A
10,Q21_Matrix_10.png,A
11,Q21_Matrix_11.png,D
12,Q21_Matrix_12.png,C
13,Q21_Matrix_13.png,C
14,Q21_Matrix_14.png,B
15,Q21_Matrix_15.png,D
16,Q21_Matrix_16.png,B
17,Q21_Matrix_17.png,E
18,Q21_Matrix_18.png,B
19,Q21_Matrix_19.png,E
20,Q21_Matrix_20.png,B
21,Q21_Matrix_21.png,D
22,Q21_Matrix_22.png,E
23,Q21_Matrix_23.png,E
24,Q21_Matrix_24.png,C
25,Q21_Matrix_25.png,A
26,Q21_Matrix_26.png,E
27,Q21_Matrix_27.png,E
28,Q21_Matrix_28.png,C
29,Q21_Matrix_29.png,A
30,Q21_Matrix_30.png,E
31,Q21_Matrix_31.png,A
32,Q21_Matrix_32.png,E
33,Q21_Matrix_33.png,A
34,Q21_Matrix_34.png,B
35,Q21_Matrix_35.png,C
36,Q21_Matrix_36.png,D
37,Q21_Matrix_37.png,D
38,Q21_Matrix_38.png,B
39,Q21_Matrix_39.png,B
40,Q21_Matrix_40.png,B
41,Q21_Matrix_41.png,B
42,Q21_Matrix_42.png,D
43,Q21_Matrix_43.png,C
44,Q21_Matrix_44.png,B
45,Q21_Matrix_45.png,E
46,Q21_Matrix_46.png,E
47,Q21_Matrix_47.png,C
48,Q21_Matrix_48.png,A
49,Q21_Matrix_49.png,C
50,Q21_Matrix_50.png,C
1,Q23_Complex_01.png,C
2,Q23_Complex_02.png,E
3,Q23_Complex_03.png,E
4,Q23_Complex_04.png,E
5,Q23_Complex_05.png,D
6,Q23_Complex_06.png,A
7,Q23_Complex_07.png,A
8,Q23_Complex_08.png,D
9,Q23_Complex_09.png,D
10,Q23_Complex_10.png,B
11,Q23_Complex_11.png,D
12,Q23_Complex_12.png,A
13,Q23_Complex_13.png,C
14,Q23_Complex_14.png,D
15,Q23_Complex_15.png,D
16,Q23_Complex_16.png,B
17,Q23_Complex_17.png,E
18,Q23_Complex_18.png,E
19,Q23_Complex_19.png,E
20,Q23_Complex_20.png,B
21,Q23_Complex_21.png,C
22,Q23_Complex_22.png,D
23,Q23_Complex_23.png,C
24,Q23_Complex_24.png,A
25,Q23_Complex_25.png,A
26,Q23_Complex_26.png,C
27,Q23_Complex_27.png,D
28,Q23_Complex_28.png,B
29,Q23_Complex_29.png,B
30,Q23_Complex_30.png,D
31,Q23_Complex_31.png,D
32,Q23_Complex_32.png,A
33,Q23_Complex_33.png,C
34,Q23_Complex_34.png,A
35,Q23_Complex_35.png,A
36,Q23_Complex_36.png,C
37,Q23_Complex_37.png,E
38,Q23_Complex_38.png,B
39,Q23_Complex_39.png,A
40,Q23_Complex_40.png,A
41,Q23_Complex_41.png,C
42,Q23_Complex_42.png,A
43,Q23_Complex_43.png,D
44,Q23_Complex_44.png,B
45,Q23_Complex_45.png,E
46,Q23_Complex_46.png,B
47,Q23_Complex_47.png,C
48,Q23_Complex_48.png,E
49,Q23_Complex_49.png,D
50,Q23_Complex_50.png,A
1,Q23_Custom_01.png,C
2,Q23_Custom_02.png,E
3,Q23_Custom_03.png,E
4,Q23_Custom_04.png,A
5,Q23_Custom_05.png,C
6,Q23_Custom_06.png,A
7,Q23_Custom_07.png,E
8,Q23_Custom_08.png,D
9,Q23_Custom_09.png,B
10,Q23_Custom_10.png,B
11,Q23_Custom_11.png,E
12,Q23_Custom_12.png,B
13,Q23_Custom_13.png,B
14,Q23_Custom_14.png,B
15,Q23_Custom_15.png,A
16,Q23_Custom_16.png,C
17,Q23_Custom_17.png,C
18,Q23_Custom_18.png,A
19,Q23_Custom_19.png,D
20,Q23_Custom_20.png,B
21,Q23_Custom_21.png,C
22,Q23_Custom_22.png,B
23,Q23_Custom_23.png,B
24,Q23_Custom_24.png,D
25,Q23_Custom_25.png,A
26,Q23_Custom_26.png,D
27,Q23_Custom_27.png,E
28,Q23_Custom_28.png,D
29,Q23_Custom_29.png,E
30,Q23_Custom_30.png,B
31,Q23_Custom_31.png,D
32,Q23_Custom_32.png,C
33,Q23_Custom_33.png,D
34,Q23_Custom_34.png,A
35,Q23_Custom_35.png,B
36,Q23_Custom_36.png,A
37,Q23_Custom_37.png,D
38,Q23_Custom_38.png,A
39,Q23_Custom_39.png,D
40,Q23_Custom_40.png,E
41,Q23_Custom_41.png,C
42,Q23_Custom_42.png,E
43,Q23_Custom_43.png,A
44,Q23_Custom_44.png,C
45,Q23_Custom_45.png,E
46,Q23_Custom_46.png,C
47,Q23_Custom_47.png,A
48,Q23_Custom_48.png,E
49,Q23_Custom_49.png,A
50,Q23_Custom_50.png,C