ref,image,correct answer,explanation
NV_7_21_1,P7_Q21_1.png,D,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option D (Pentagon) breaks this rule.
NV_7_21_2,P7_Q21_2.png,B,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option B (Pentagon) breaks this rule.
NV_7_21_3,P7_Q21_3.png,E,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option E (Octagon) breaks this rule.
NV_7_21_4,P7_Q21_4.png,B,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option B (Triangle) breaks this rule.
NV_7_21_5,P7_Q21_5.png,E,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option E (Octagon) breaks this rule.
NV_7_21_6,P7_Q21_6.png,B,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option B (Hexagon) breaks this rule.
NV_7_21_7,P7_Q21_7.png,B,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option B (Pentagon) breaks this rule.
NV_7_21_8,P7_Q21_8.png,D,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option D (Octagon) breaks this rule.
NV_7_21_9,P7_Q21_9.png,D,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option D (Hexagon) breaks this rule.
NV_7_21_10,P7_Q21_10.png,D,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option D (Square) breaks this rule.
NV_7_21_11,P7_Q21_11.png,C,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option C (Pentagon) breaks this rule.
NV_7_21_12,P7_Q21_12.png,C,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option C (Square) breaks this rule.
NV_7_21_13,P7_Q21_13.png,D,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option D (Pentagon) breaks this rule.
NV_7_21_14,P7_Q21_14.png,C,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option C (Square) breaks this rule.
NV_7_21_15,P7_Q21_15.png,A,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option A (Triangle) breaks this rule.
NV_7_21_16,P7_Q21_16.png,C,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option C (Triangle) breaks this rule.
NV_7_21_17,P7_Q21_17.png,D,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option D (Hexagon) breaks this rule.
NV_7_21_18,P7_Q21_18.png,C,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option C (Square) breaks this rule.
NV_7_21_19,P7_Q21_19.png,C,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option C (Triangle) breaks this rule.
NV_7_21_20,P7_Q21_20.png,B,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option B (Triangle) breaks this rule.
NV_7_21_21,P7_Q21_21.png,B,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option B (Triangle) breaks this rule.
NV_7_21_22,P7_Q21_22.png,E,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option E (Octagon) breaks this rule.
NV_7_21_23,P7_Q21_23.png,B,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option B (Square) breaks this rule.
NV_7_21_24,P7_Q21_24.png,E,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option E (Triangle) breaks this rule.
NV_7_21_25,P7_Q21_25.png,A,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option A (Square) breaks this rule.
NV_7_21_26,P7_Q21_26.png,A,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option A (Pentagon) breaks this rule.
NV_7_21_27,P7_Q21_27.png,C,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option C (Pentagon) breaks this rule.
NV_7_21_28,P7_Q21_28.png,B,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option B (Hexagon) breaks this rule.
NV_7_21_29,P7_Q21_29.png,B,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option B (Square) breaks this rule.
NV_7_21_30,P7_Q21_30.png,E,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option E (Octagon) breaks this rule.
NV_7_21_31,P7_Q21_31.png,B,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option B (Octagon) breaks this rule.
NV_7_21_32,P7_Q21_32.png,C,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option C (Pentagon) breaks this rule.
NV_7_21_33,P7_Q21_33.png,B,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option B (Pentagon) breaks this rule.
NV_7_21_34,P7_Q21_34.png,D,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option D (Octagon) breaks this rule.
NV_7_21_35,P7_Q21_35.png,D,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option D (Octagon) breaks this rule.
NV_7_21_36,P7_Q21_36.png,A,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option A (Octagon) breaks this rule.
NV_7_21_37,P7_Q21_37.png,B,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option B (Octagon) breaks this rule.
NV_7_21_38,P7_Q21_38.png,A,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option A (Triangle) breaks this rule.
NV_7_21_39,P7_Q21_39.png,E,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option E (Pentagon) breaks this rule.
NV_7_21_40,P7_Q21_40.png,C,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option C (Triangle) breaks this rule.
NV_7_21_41,P7_Q21_41.png,C,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option C (Square) breaks this rule.
NV_7_21_42,P7_Q21_42.png,C,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option C (Square) breaks this rule.
NV_7_21_43,P7_Q21_43.png,C,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option C (Pentagon) breaks this rule.
NV_7_21_44,P7_Q21_44.png,D,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option D (Octagon) breaks this rule.
NV_7_21_45,P7_Q21_45.png,D,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option D (Triangle) breaks this rule.
NV_7_21_46,P7_Q21_46.png,D,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option D (Triangle) breaks this rule.
NV_7_21_47,P7_Q21_47.png,C,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option C (Pentagon) breaks this rule.
NV_7_21_48,P7_Q21_48.png,E,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option E (Square) breaks this rule.
NV_7_21_49,P7_Q21_49.png,A,Thick Outer lines must connect to Sides; Thick Inner lines must connect to Corners. Option A (Hexagon) breaks this rule.
NV_7_21_50,P7_Q21_50.png,B,Thick Outer lines must connect to Corners; Thick Inner lines must connect to Sides. Option B (Triangle) breaks this rule.
NV_7_22_1,Logic_Q1.png,B,"The rule is based on Center Lines. In four figures, they are Plus (+). Option B is the odd one out because it has Cross (x)."
NV_7_22_2,Logic_Q2.png,C,"The rule is based on Center Lines. In four figures, they are Cross (x). Option C is the odd one out because it has Plus (+)."
NV_7_22_3,Logic_Q3.png,C,"The rule is based on Center Lines. In four figures, they are Plus (+). Option C is the odd one out because it has Cross (x)."
NV_7_22_4,Logic_Q4.png,C,"The rule is based on Circle Position. In four figures, they are Opposite sides. Option C is the odd one out because it has 90° apart."
NV_7_22_5,Logic_Q5.png,D,"The rule is based on Center Lines. In four figures, they are Plus (+). Option D is the odd one out because it has Cross (x)."
NV_7_22_6,Logic_Q6.png,A,"The rule is based on Circle Shading. In four figures, they are Black circles. Option A is the odd one out because it has White circles."
NV_7_22_7,Logic_Q7.png,E,"The rule is based on Center Lines. In four figures, they are Cross (x). Option E is the odd one out because it has Plus (+)."
NV_7_22_8,Logic_Q8.png,E,"The rule is based on Center Lines. In four figures, they are Cross (x). Option E is the odd one out because it has Plus (+)."
NV_7_22_9,Logic_Q9.png,D,"The rule is based on Circle Position. In four figures, they are Opposite sides. Option D is the odd one out because it has 90° apart."
NV_7_22_10,Logic_Q10.png,B,"The rule is based on Center Lines. In four figures, they are Cross (x). Option B is the odd one out because it has Plus (+)."
NV_7_22_11,Logic_Q11.png,D,"The rule is based on Circle Shading. In four figures, they are White circles. Option D is the odd one out because it has Black circles."
NV_7_22_12,Logic_Q12.png,B,"The rule is based on Center Lines. In four figures, they are Plus (+). Option B is the odd one out because it has Cross (x)."
NV_7_22_13,Logic_Q13.png,B,"The rule is based on Circle Shading. In four figures, they are Black circles. Option B is the odd one out because it has White circles."
NV_7_22_14,Logic_Q14.png,E,"The rule is based on Circle Position. In four figures, they are Opposite sides. Option E is the odd one out because it has 90° apart."
NV_7_22_15,Logic_Q15.png,C,"The rule is based on Circle Shading. In four figures, they are Black circles. Option C is the odd one out because it has White circles."
NV_7_22_16,Logic_Q16.png,D,"The rule is based on Circle Position. In four figures, they are Opposite sides. Option D is the odd one out because it has 90° apart."
NV_7_22_17,Logic_Q17.png,A,"The rule is based on Circle Position. In four figures, they are 90° apart. Option A is the odd one out because it has Opposite sides."
NV_7_22_18,Logic_Q18.png,E,"The rule is based on Center Lines. In four figures, they are Plus (+). Option E is the odd one out because it has Cross (x)."
NV_7_22_19,Logic_Q19.png,B,"The rule is based on Circle Shading. In four figures, they are Black circles. Option B is the odd one out because it has White circles."
NV_7_22_20,Logic_Q20.png,A,"The rule is based on Circle Position. In four figures, they are Opposite sides. Option A is the odd one out because it has 90° apart."
NV_7_22_21,Logic_Q21.png,C,"The rule is based on Center Lines. In four figures, they are Cross (x). Option C is the odd one out because it has Plus (+)."
NV_7_22_22,Logic_Q22.png,D,"The rule is based on Center Lines. In four figures, they are Plus (+). Option D is the odd one out because it has Cross (x)."
NV_7_22_23,Logic_Q23.png,C,"The rule is based on Circle Position. In four figures, they are Opposite sides. Option C is the odd one out because it has 90° apart."
NV_7_22_24,Logic_Q24.png,E,"The rule is based on Center Lines. In four figures, they are Plus (+). Option E is the odd one out because it has Cross (x)."
NV_7_22_25,Logic_Q25.png,A,"The rule is based on Circle Shading. In four figures, they are White circles. Option A is the odd one out because it has Black circles."
NV_7_22_26,Logic_Q26.png,E,"The rule is based on Center Lines. In four figures, they are Plus (+). Option E is the odd one out because it has Cross (x)."
NV_7_22_27,Logic_Q27.png,E,"The rule is based on Center Lines. In four figures, they are Plus (+). Option E is the odd one out because it has Cross (x)."
NV_7_22_28,Logic_Q28.png,A,"The rule is based on Circle Position. In four figures, they are 90° apart. Option A is the odd one out because it has Opposite sides."
NV_7_22_29,Logic_Q29.png,B,"The rule is based on Circle Position. In four figures, they are 90° apart. Option B is the odd one out because it has Opposite sides."
NV_7_22_30,Logic_Q30.png,B,"The rule is based on Circle Position. In four figures, they are Opposite sides. Option B is the odd one out because it has 90° apart."
NV_7_22_31,Logic_Q31.png,A,"The rule is based on Circle Position. In four figures, they are 90° apart. Option A is the odd one out because it has Opposite sides."
NV_7_22_32,Logic_Q32.png,E,"The rule is based on Circle Shading. In four figures, they are Black circles. Option E is the odd one out because it has White circles."
NV_7_22_33,Logic_Q33.png,D,"The rule is based on Center Lines. In four figures, they are Cross (x). Option D is the odd one out because it has Plus (+)."
NV_7_22_34,Logic_Q34.png,C,"The rule is based on Center Lines. In four figures, they are Cross (x). Option C is the odd one out because it has Plus (+)."
NV_7_22_35,Logic_Q35.png,C,"The rule is based on Center Lines. In four figures, they are Plus (+). Option C is the odd one out because it has Cross (x)."
NV_7_22_36,Logic_Q36.png,C,"The rule is based on Circle Shading. In four figures, they are White circles. Option C is the odd one out because it has Black circles."
NV_7_22_37,Logic_Q37.png,C,"The rule is based on Center Lines. In four figures, they are Cross (x). Option C is the odd one out because it has Plus (+)."
NV_7_22_38,Logic_Q38.png,A,"The rule is based on Circle Position. In four figures, they are 90° apart. Option A is the odd one out because it has Opposite sides."
NV_7_22_39,Logic_Q39.png,D,"The rule is based on Circle Shading. In four figures, they are White circles. Option D is the odd one out because it has Black circles."
NV_7_22_40,Logic_Q40.png,E,"The rule is based on Center Lines. In four figures, they are Plus (+). Option E is the odd one out because it has Cross (x)."
NV_7_22_41,Logic_Q41.png,A,"The rule is based on Circle Shading. In four figures, they are White circles. Option A is the odd one out because it has Black circles."
NV_7_22_42,Logic_Q42.png,A,"The rule is based on Circle Position. In four figures, they are 90° apart. Option A is the odd one out because it has Opposite sides."
NV_7_22_43,Logic_Q43.png,C,"The rule is based on Center Lines. In four figures, they are Plus (+). Option C is the odd one out because it has Cross (x)."
NV_7_22_44,Logic_Q44.png,A,"The rule is based on Circle Position. In four figures, they are Opposite sides. Option A is the odd one out because it has 90° apart."
NV_7_22_45,Logic_Q45.png,C,"The rule is based on Center Lines. In four figures, they are Plus (+). Option C is the odd one out because it has Cross (x)."
NV_7_22_46,Logic_Q46.png,D,"The rule is based on Center Lines. In four figures, they are Cross (x). Option D is the odd one out because it has Plus (+)."
NV_7_22_47,Logic_Q47.png,D,"The rule is based on Center Lines. In four figures, they are Plus (+). Option D is the odd one out because it has Cross (x)."
NV_7_22_48,Logic_Q48.png,E,"The rule is based on Center Lines. In four figures, they are Plus (+). Option E is the odd one out because it has Cross (x)."
NV_7_22_49,Logic_Q49.png,B,"The rule is based on Circle Shading. In four figures, they are Black circles. Option B is the odd one out because it has White circles."
NV_7_22_50,Logic_Q50.png,C,"The rule is based on Circle Position. In four figures, they are 90° apart. Option C is the odd one out because it has Opposite sides."
NV_7_24_1,Overlap_Q1.png,D,The rule involves the number of overlapping corners. Four options overlap at a 'Vertex' (1 corner inside). Option D overlaps along an 'Edge' (2 corners inside).
NV_7_24_2,Overlap_Q2.png,A,The rule involves the number of overlapping corners. Four options overlap at a 'Vertex' (1 corner inside). Option A overlaps along an 'Edge' (2 corners inside).
NV_7_24_3,Overlap_Q3.png,C,The rule involves the number of overlapping corners. Four options overlap at a 'Vertex' (1 corner inside). Option C overlaps along an 'Edge' (2 corners inside).
NV_7_24_4,Overlap_Q4.png,B,The rule involves the number of overlapping corners. Four options overlap at a 'Vertex' (1 corner inside). Option B overlaps along an 'Edge' (2 corners inside).
NV_7_24_5,Overlap_Q5.png,D,The rule involves the number of overlapping corners. Four options overlap at a 'Vertex' (1 corner inside). Option D overlaps along an 'Edge' (2 corners inside).
NV_7_24_6,Overlap_Q6.png,C,The rule involves the number of overlapping corners. Four options overlap at a 'Vertex' (1 corner inside). Option C overlaps along an 'Edge' (2 corners inside).
NV_7_24_7,Overlap_Q7.png,E,The rule involves the number of overlapping corners. Four options overlap at a 'Vertex' (1 corner inside). Option E overlaps along an 'Edge' (2 corners inside).
NV_7_24_8,Overlap_Q8.png,D,The rule involves the number of overlapping corners. Four options overlap at a 'Vertex' (1 corner inside). Option D overlaps along an 'Edge' (2 corners inside).
NV_7_24_9,Overlap_Q9.png,E,The rule involves the number of overlapping corners. Four options overlap at a 'Vertex' (1 corner inside). Option E overlaps along an 'Edge' (2 corners inside).
NV_7_24_10,Overlap_Q10.png,D,The rule involves the number of overlapping corners. Four options overlap at a 'Vertex' (1 corner inside). Option D overlaps along an 'Edge' (2 corners inside).
NV_7_25_1,Ovals_Q1.png,C,"The rule is based on Inner Colour. In four figures, the property is Grey. Option C is the odd one out because it is White."
NV_7_25_2,Ovals_Q2.png,C,"The rule is based on Outer Colour. In four figures, the property is Black. Option C is the odd one out because it is Grey."
NV_7_25_3,Ovals_Q3.png,C,"The rule is based on Orientation. In four figures, the property is Aligned. Option C is the odd one out because it is Rotated (90°)."
NV_7_25_4,Ovals_Q4.png,C,"The rule is based on Inner Colour. In four figures, the property is Black. Option C is the odd one out because it is White."
NV_7_25_5,Ovals_Q5.png,D,"The rule is based on Outer Colour. In four figures, the property is White. Option D is the odd one out because it is Black."
NV_7_25_6,Ovals_Q6.png,A,"The rule is based on Orientation. In four figures, the property is Aligned. Option A is the odd one out because it is Rotated (90°)."
NV_7_25_7,Ovals_Q7.png,B,"The rule is based on Orientation. In four figures, the property is Aligned. Option B is the odd one out because it is Rotated (90°)."
NV_7_25_8,Ovals_Q8.png,A,"The rule is based on Outer Colour. In four figures, the property is White. Option A is the odd one out because it is Grey."
NV_7_25_9,Ovals_Q9.png,D,"The rule is based on Outer Colour. In four figures, the property is White. Option D is the odd one out because it is Black."
NV_7_25_10,Ovals_Q10.png,B,"The rule is based on Outer Colour. In four figures, the property is Black. Option B is the odd one out because it is White."
NV_7_25_11,Ovals_Q11.png,B,"The rule is based on Inner Colour. In four figures, the property is White. Option B is the odd one out because it is Black."
NV_7_25_12,Ovals_Q12.png,A,"The rule is based on Inner Colour. In four figures, the property is Grey. Option A is the odd one out because it is White."
NV_7_25_13,Ovals_Q13.png,A,"The rule is based on Outer Colour. In four figures, the property is White. Option A is the odd one out because it is Grey."
NV_7_25_14,Ovals_Q14.png,E,"The rule is based on Orientation. In four figures, the property is Rotated (90°). Option E is the odd one out because it is Aligned."
NV_7_25_15,Ovals_Q15.png,D,"The rule is based on Outer Colour. In four figures, the property is White. Option D is the odd one out because it is Grey."
NV_7_25_16,Ovals_Q16.png,C,"The rule is based on Outer Colour. In four figures, the property is Grey. Option C is the odd one out because it is White."
NV_7_25_17,Ovals_Q17.png,D,"The rule is based on Outer Colour. In four figures, the property is Grey. Option D is the odd one out because it is White."
NV_7_25_18,Ovals_Q18.png,E,"The rule is based on Outer Colour. In four figures, the property is White. Option E is the odd one out because it is Grey."
NV_7_25_19,Ovals_Q19.png,D,"The rule is based on Outer Colour. In four figures, the property is Grey. Option D is the odd one out because it is White."
NV_7_25_20,Ovals_Q20.png,A,"The rule is based on Orientation. In four figures, the property is Aligned. Option A is the odd one out because it is Rotated (90°)."
NV_7_25_21,Ovals_Q21.png,D,"The rule is based on Outer Colour. In four figures, the property is Grey. Option D is the odd one out because it is Black."
NV_7_25_22,Ovals_Q22.png,D,"The rule is based on Outer Colour. In four figures, the property is Black. Option D is the odd one out because it is Grey."
NV_7_25_23,Ovals_Q23.png,C,"The rule is based on Outer Colour. In four figures, the property is Grey. Option C is the odd one out because it is White."
NV_7_25_24,Ovals_Q24.png,B,"The rule is based on Orientation. In four figures, the property is Rotated (90°). Option B is the odd one out because it is Aligned."
NV_7_25_25,Ovals_Q25.png,A,"The rule is based on Outer Colour. In four figures, the property is Black. Option A is the odd one out because it is Grey."
NV_7_25_26,Ovals_Q26.png,C,"The rule is based on Outer Colour. In four figures, the property is Black. Option C is the odd one out because it is White."
NV_7_25_27,Ovals_Q27.png,B,"The rule is based on Outer Colour. In four figures, the property is Grey. Option B is the odd one out because it is White."
NV_7_25_28,Ovals_Q28.png,A,"The rule is based on Outer Colour. In four figures, the property is Black. Option A is the odd one out because it is Grey."
NV_7_25_29,Ovals_Q29.png,D,"The rule is based on Outer Colour. In four figures, the property is Black. Option D is the odd one out because it is White."
NV_7_25_30,Ovals_Q30.png,D,"The rule is based on Outer Colour. In four figures, the property is White. Option D is the odd one out because it is Grey."
NV_7_25_31,Ovals_Q31.png,B,"The rule is based on Inner Colour. In four figures, the property is Black. Option B is the odd one out because it is Grey."
NV_7_25_32,Ovals_Q32.png,D,"The rule is based on Orientation. In four figures, the property is Rotated (90°). Option D is the odd one out because it is Aligned."
NV_7_25_33,Ovals_Q33.png,B,"The rule is based on Orientation. In four figures, the property is Rotated (90°). Option B is the odd one out because it is Aligned."
NV_7_25_34,Ovals_Q34.png,D,"The rule is based on Outer Colour. In four figures, the property is Grey. Option D is the odd one out because it is White."
NV_7_25_35,Ovals_Q35.png,E,"The rule is based on Orientation. In four figures, the property is Aligned. Option E is the odd one out because it is Rotated (90°)."
NV_7_25_36,Ovals_Q36.png,E,"The rule is based on Inner Colour. In four figures, the property is Grey. Option E is the odd one out because it is Black."
NV_7_25_37,Ovals_Q37.png,A,"The rule is based on Outer Colour. In four figures, the property is White. Option A is the odd one out because it is Black."
NV_7_25_38,Ovals_Q38.png,B,"The rule is based on Inner Colour. In four figures, the property is White. Option B is the odd one out because it is Grey."
NV_7_25_39,Ovals_Q39.png,B,"The rule is based on Outer Colour. In four figures, the property is Grey. Option B is the odd one out because it is Black."
NV_7_25_40,Ovals_Q40.png,A,"The rule is based on Inner Colour. In four figures, the property is Grey. Option A is the odd one out because it is White."
NV_7_25_41,Ovals_Q41.png,C,"The rule is based on Inner Colour. In four figures, the property is White. Option C is the odd one out because it is Black."
NV_7_25_42,Ovals_Q42.png,B,"The rule is based on Inner Colour. In four figures, the property is Grey. Option B is the odd one out because it is White."
NV_7_25_43,Ovals_Q43.png,E,"The rule is based on Orientation. In four figures, the property is Rotated (90°). Option E is the odd one out because it is Aligned."
NV_7_25_44,Ovals_Q44.png,B,"The rule is based on Outer Colour. In four figures, the property is White. Option B is the odd one out because it is Grey."
NV_7_25_45,Ovals_Q45.png,A,"The rule is based on Inner Colour. In four figures, the property is Grey. Option A is the odd one out because it is Black."
NV_7_25_46,Ovals_Q46.png,E,"The rule is based on Orientation. In four figures, the property is Aligned. Option E is the odd one out because it is Rotated (90°)."
NV_7_25_47,Ovals_Q47.png,C,"The rule is based on Inner Colour. In four figures, the property is Black. Option C is the odd one out because it is White."
NV_7_25_48,Ovals_Q48.png,B,"The rule is based on Outer Colour. In four figures, the property is White. Option B is the odd one out because it is Grey."
NV_7_25_49,Ovals_Q49.png,C,"The rule is based on Orientation. In four figures, the property is Rotated (90°). Option C is the odd one out because it is Aligned."
NV_7_25_50,Ovals_Q50.png,B,"The rule is based on Outer Colour. In four figures, the property is Grey. Option B is the odd one out because it is White."
NV_7_26_1,Symmetry_Q1.png,C,Rule: Inner shape is Rotated 90° relative to outer. Odd One Out: Option C (Identical).
NV_7_26_2,Symmetry_Q2.png,A,Rule: Inner shape is Rotated 270° relative to outer. Odd One Out: Option A (Identical).
NV_7_26_3,Symmetry_Q3.png,B,Rule: Inner shape is Identical relative to outer. Odd One Out: Option B (Rotated 270°).
NV_7_26_4,Symmetry_Q4.png,A,Rule: Inner shape is Rotated 180° relative to outer. Odd One Out: Option A (Identical).
NV_7_26_5,Symmetry_Q5.png,B,Rule: Inner shape is Rotated 180° relative to outer. Odd One Out: Option B (Rotated 270°).
NV_7_26_6,Symmetry_Q6.png,A,Rule: Inner shape is Rotated 270° relative to outer. Odd One Out: Option A (Rotated 180°).
NV_7_26_7,Symmetry_Q7.png,B,Rule: Inner shape is Rotated 270° relative to outer. Odd One Out: Option B (Identical).
NV_7_26_8,Symmetry_Q8.png,B,Rule: Inner shape is Identical relative to outer. Odd One Out: Option B (Rotated 270°).
NV_7_26_9,Symmetry_Q9.png,E,Rule: Inner shape is Identical relative to outer. Odd One Out: Option E (Rotated 90°).
NV_7_26_10,Symmetry_Q10.png,B,Rule: Inner shape is Rotated 270° relative to outer. Odd One Out: Option B (Rotated 180°).
NV_7_26_11,Symmetry_Q11.png,C,Rule: Inner shape is Rotated 180° relative to outer. Odd One Out: Option C (Identical).
NV_7_26_12,Symmetry_Q12.png,D,Rule: Inner shape is Rotated 90° relative to outer. Odd One Out: Option D (Rotated 270°).
NV_7_26_13,Symmetry_Q13.png,A,Rule: Inner shape is Rotated 180° relative to outer. Odd One Out: Option A (Rotated 270°).
NV_7_26_14,Symmetry_Q14.png,B,Rule: Inner shape is Rotated 180° relative to outer. Odd One Out: Option B (Identical).
NV_7_26_15,Symmetry_Q15.png,E,Rule: Inner shape is Rotated 90° relative to outer. Odd One Out: Option E (Rotated 270°).
NV_7_26_16,Symmetry_Q16.png,B,Rule: Inner shape is Identical relative to outer. Odd One Out: Option B (Rotated 180°).
NV_7_26_17,Symmetry_Q17.png,E,Rule: Inner shape is Rotated 180° relative to outer. Odd One Out: Option E (Rotated 90°).
NV_7_26_18,Symmetry_Q18.png,B,Rule: Inner shape is Rotated 90° relative to outer. Odd One Out: Option B (Rotated 180°).
NV_7_26_19,Symmetry_Q19.png,D,Rule: Inner shape is Identical relative to outer. Odd One Out: Option D (Rotated 180°).
NV_7_26_20,Symmetry_Q20.png,E,Rule: Inner shape is Rotated 180° relative to outer. Odd One Out: Option E (Rotated 90°).
NV_7_26_21,Symmetry_Q21.png,C,Rule: Inner shape is Identical relative to outer. Odd One Out: Option C (Rotated 90°).
NV_7_26_22,Symmetry_Q22.png,A,Rule: Inner shape is Identical relative to outer. Odd One Out: Option A (Rotated 270°).
