Question ID,Image,Answer
nv_mat_001,Matrix_Asym_1.png,A
nv_mat_002,Matrix_Asym_2.png,C
nv_mat_003,Matrix_Asym_3.png,D
nv_mat_004,Matrix_Asym_4.png,D
nv_mat_005,Matrix_Asym_5.png,D
nv_mat_006,Matrix_Asym_6.png,D
nv_mat_007,Matrix_Asym_7.png,A
nv_mat_008,Matrix_Asym_8.png,A
nv_mat_009,Matrix_Asym_9.png,C
nv_mat_010,Matrix_Asym_10.png,C
nv_mat_011,Matrix_Asym_11.png,A
nv_mat_012,Matrix_Asym_12.png,D
nv_mat_013,Matrix_Asym_13.png,D
nv_mat_014,Matrix_Asym_14.png,B
nv_mat_015,Matrix_Asym_15.png,B
nv_mat_016,Matrix_Asym_16.png,A
nv_mat_017,Matrix_Asym_17.png,C
nv_mat_018,Matrix_Asym_18.png,E
nv_mat_019,Matrix_Asym_19.png,D
nv_mat_020,Matrix_Asym_20.png,C
nv_mat_021,Matrix_Asym_21.png,B
nv_mat_022,Matrix_Asym_22.png,D
nv_mat_023,Matrix_Asym_23.png,C
nv_mat_024,Matrix_Asym_24.png,B
nv_mat_025,Matrix_Asym_25.png,B
nv_mat_026,Matrix_Asym_26.png,D
nv_mat_027,Matrix_Asym_27.png,D
nv_mat_028,Matrix_Asym_28.png,C
nv_mat_029,Matrix_Asym_29.png,C
nv_mat_030,Matrix_Asym_30.png,E
nv_mat_031,Matrix_Asym_31.png,D
nv_mat_032,Matrix_Asym_32.png,A
nv_mat_033,Matrix_Asym_33.png,D
nv_mat_034,Matrix_Asym_34.png,D
nv_mat_035,Matrix_Asym_35.png,A
nv_mat_036,Matrix_Asym_36.png,A
nv_mat_037,Matrix_Asym_37.png,A
nv_mat_038,Matrix_Asym_38.png,A
nv_mat_039,Matrix_Asym_39.png,E
nv_mat_040,Matrix_Asym_40.png,B
nv_mat_041,Matrix_Asym_41.png,D
nv_mat_042,Matrix_Asym_42.png,C
nv_mat_043,Matrix_Asym_43.png,A
nv_mat_044,Matrix_Asym_44.png,D
nv_mat_045,Matrix_Asym_45.png,B
nv_mat_046,Matrix_Asym_46.png,D
nv_mat_047,Matrix_Asym_47.png,B
nv_mat_048,Matrix_Asym_48.png,E
nv_mat_049,Matrix_Asym_49.png,B
nv_mat_050,Matrix_Asym_50.png,E
nv_mat_051,Matrix_1.png,A
nv_mat_052,Matrix_2.png,E
nv_mat_053,Matrix_3.png,D
nv_mat_054,Matrix_4.png,E
nv_mat_055,Matrix_5.png,D
nv_mat_056,Matrix_6.png,E
nv_mat_057,Matrix_7.png,B
nv_mat_058,Matrix_8.png,D
nv_mat_059,Matrix_9.png,A
nv_mat_060,Matrix_10.png,A
nv_mat_061,Matrix_11.png,E
nv_mat_062,Matrix_12.png,B
nv_mat_063,Matrix_13.png,A
nv_mat_064,Matrix_14.png,D
nv_mat_065,Matrix_15.png,C
nv_mat_066,Matrix_16.png,A
nv_mat_067,Matrix_17.png,B
nv_mat_068,Matrix_18.png,D
nv_mat_069,Matrix_19.png,B
nv_mat_070,Matrix_20.png,D
nv_mat_071,Matrix_21.png,A
nv_mat_072,Matrix_22.png,B
nv_mat_073,Matrix_23.png,E
nv_mat_074,Matrix_24.png,C
nv_mat_075,Matrix_25.png,E
nv_mat_076,Matrix_26.png,A
nv_mat_077,Matrix_27.png,C
nv_mat_078,Matrix_28.png,D
nv_mat_079,Matrix_29.png,C
nv_mat_080,Matrix_30.png,C
nv_mat_081,Matrix_31.png,E
nv_mat_082,Matrix_32.png,B
nv_mat_083,Matrix_33.png,C
nv_mat_084,Matrix_34.png,C
nv_mat_085,Matrix_35.png,E
nv_mat_086,Matrix_36.png,C
nv_mat_087,Matrix_37.png,A
nv_mat_088,Matrix_38.png,E
nv_mat_089,Matrix_39.png,C
nv_mat_090,Matrix_40.png,C
nv_mat_091,Matrix_41.png,E
nv_mat_092,Matrix_42.png,C
nv_mat_093,Matrix_43.png,B
nv_mat_094,Matrix_44.png,B
nv_mat_095,Matrix_45.png,D
nv_mat_096,Matrix_46.png,B
nv_mat_097,Matrix_47.png,C
nv_mat_098,Matrix_48.png,E
nv_mat_099,Matrix_49.png,E
nv_mat_100,Matrix_50.png,A
nv_mat_101,ReflectAsym_1.png,A
nv_mat_102,ReflectAsym_2.png,D
nv_mat_103,ReflectAsym_3.png,E
nv_mat_104,ReflectAsym_4.png,D
nv_mat_105,ReflectAsym_5.png,D
nv_mat_106,ReflectAsym_6.png,B
nv_mat_107,ReflectAsym_7.png,E
nv_mat_108,ReflectAsym_8.png,C
nv_mat_109,ReflectAsym_9.png,E
nv_mat_110,ReflectAsym_10.png,B
nv_mat_111,ReflectAsym_11.png,B
nv_mat_112,ReflectAsym_12.png,A
nv_mat_113,ReflectAsym_13.png,B
nv_mat_114,ReflectAsym_14.png,C
nv_mat_115,ReflectAsym_15.png,C
nv_mat_116,ReflectAsym_16.png,B
nv_mat_117,ReflectAsym_17.png,A
nv_mat_118,ReflectAsym_18.png,E
nv_mat_119,ReflectAsym_19.png,D
nv_mat_120,ReflectAsym_20.png,C
nv_mat_121,ReflectAsym_21.png,B
nv_mat_122,ReflectAsym_22.png,C
nv_mat_123,ReflectAsym_23.png,B
nv_mat_124,ReflectAsym_24.png,D
nv_mat_125,ReflectAsym_25.png,D
nv_mat_126,ReflectAsym_26.png,D
nv_mat_127,ReflectAsym_27.png,B
nv_mat_128,ReflectAsym_28.png,D
nv_mat_129,ReflectAsym_29.png,C
nv_mat_130,ReflectAsym_30.png,A
nv_mat_131,ReflectAsym_31.png,C
nv_mat_132,ReflectAsym_32.png,A
nv_mat_133,ReflectAsym_33.png,A
nv_mat_134,ReflectAsym_34.png,C
nv_mat_135,ReflectAsym_35.png,E
nv_mat_136,ReflectAsym_36.png,E
nv_mat_137,ReflectAsym_37.png,C
nv_mat_138,ReflectAsym_38.png,B
nv_mat_139,ReflectAsym_39.png,B
nv_mat_140,ReflectAsym_40.png,A
nv_mat_141,ReflectAsym_41.png,B
nv_mat_142,ReflectAsym_42.png,B
nv_mat_143,ReflectAsym_43.png,A
nv_mat_144,ReflectAsym_44.png,C
nv_mat_145,ReflectAsym_45.png,D
nv_mat_146,ReflectAsym_46.png,C
nv_mat_147,ReflectAsym_47.png,E
nv_mat_148,ReflectAsym_48.png,A
nv_mat_149,ReflectAsym_49.png,B
nv_mat_150,ReflectAsym_50.png,C
nv_mat_151,Q25_Matrix_2.png,C
nv_mat_152,Q25_Matrix_3.png,A
nv_mat_153,Q25_Matrix_4.png,E
nv_mat_154,Q25_Matrix_5.png,E
nv_mat_155,Q25_Matrix_8.png,C
nv_mat_156,Q25_Matrix_13.png,C
nv_mat_157,Q25_Matrix_14.png,A
nv_mat_158,Q25_Matrix_15.png,C
nv_mat_159,Q25_Matrix_16.png,A
nv_mat_160,Q25_Matrix_17.png,C
nv_mat_161,Q25_Matrix_20.png,E
nv_mat_162,Q25_Matrix_29.png,E
nv_mat_163,Q25_Matrix_31.png,B
nv_mat_164,Q25_Matrix_32.png,C
nv_mat_165,Q25_Matrix_33.png,D
nv_mat_166,Q25_Matrix_34.png,B
nv_mat_167,Q25_Matrix_35.png,A
nv_mat_168,Q25_Matrix_38.png,B
nv_mat_169,Q25_Matrix_40.png,D
nv_mat_170,Q25_Matrix_41.png,C
nv_mat_171,Q25_Matrix_42.png,B
nv_mat_172,Q25_Matrix_43.png,A
nv_mat_173,Q25_Matrix_44.png,B
nv_mat_174,Q25_Matrix_45.png,E
nv_mat_175,Q25_Matrix_49.png,C
nv_mat_176,Q25_Matrix_50.png,B
nv_mat_177,Q26_Reflect_1.png,D
nv_mat_178,Q26_Reflect_2.png,B
nv_mat_179,Q26_Reflect_3.png,E
nv_mat_180,Q26_Reflect_4.png,D
nv_mat_181,Q26_Reflect_5.png,D
nv_mat_182,Q26_Reflect_6.png,D
nv_mat_183,Q26_Reflect_7.png,D
nv_mat_184,Q26_Reflect_8.png,A
nv_mat_185,Q26_Reflect_9.png,D
nv_mat_186,Q26_Reflect_10.png,A
nv_mat_187,Q26_Reflect_11.png,A
nv_mat_188,Q26_Reflect_12.png,E
nv_mat_189,Q26_Reflect_13.png,A
nv_mat_190,Q26_Reflect_14.png,B
nv_mat_191,Q26_Reflect_15.png,D
nv_mat_192,Q26_Reflect_16.png,D
nv_mat_193,Q26_Reflect_17.png,C
nv_mat_194,Q26_Reflect_18.png,B
nv_mat_195,Q26_Reflect_19.png,D
nv_mat_196,Q26_Reflect_20.png,E
nv_mat_197,Q26_Reflect_21.png,A
nv_mat_198,Q26_Reflect_22.png,E
nv_mat_199,Q26_Reflect_23.png,D
nv_mat_200,Q26_Reflect_24.png,A
nv_mat_201,Q26_Reflect_25.png,E
nv_mat_202,Q26_Reflect_26.png,D
nv_mat_203,Q26_Reflect_27.png,E
nv_mat_204,Q26_Reflect_28.png,D
nv_mat_205,Q26_Reflect_29.png,C
nv_mat_206,Q26_Reflect_30.png,A
nv_mat_207,Q26_Reflect_31.png,D
nv_mat_208,Q26_Reflect_32.png,E
nv_mat_209,Q26_Reflect_33.png,B
nv_mat_210,Q26_Reflect_34.png,C
nv_mat_211,Q26_Reflect_35.png,A
nv_mat_212,Q26_Reflect_36.png,D
nv_mat_213,Q26_Reflect_37.png,E
nv_mat_214,Q26_Reflect_38.png,C
nv_mat_215,Q26_Reflect_39.png,A
nv_mat_216,Q26_Reflect_40.png,A
nv_mat_217,Q26_Reflect_41.png,B
nv_mat_218,Q26_Reflect_42.png,A
nv_mat_219,Q26_Reflect_43.png,A
nv_mat_220,Q26_Reflect_44.png,E
nv_mat_221,Q26_Reflect_45.png,A
nv_mat_222,Q26_Reflect_46.png,A
nv_mat_223,Q26_Reflect_47.png,B
nv_mat_224,Q26_Reflect_48.png,B
nv_mat_225,Q26_Reflect_49.png,C
nv_mat_226,Q26_Reflect_50.png,A
nv_mat_227,Q27_Reduction_1.png,D
nv_mat_228,Q27_Reduction_2.png,C
nv_mat_229,Q27_Reduction_3.png,C
nv_mat_230,Q27_Reduction_4.png,B
nv_mat_231,Q27_Reduction_5.png,B
nv_mat_232,Q27_Reduction_6.png,A
nv_mat_233,Q27_Reduction_7.png,A
nv_mat_234,Q27_Reduction_8.png,B
nv_mat_235,Q27_Reduction_9.png,E
nv_mat_236,Q27_Reduction_10.png,A
nv_mat_237,Q27_Reduction_11.png,B
nv_mat_238,Q27_Reduction_12.png,E
nv_mat_239,Q27_Reduction_13.png,D
nv_mat_240,Q27_Reduction_14.png,C
nv_mat_241,Q27_Reduction_15.png,E
nv_mat_242,Q27_Reduction_16.png,B
nv_mat_243,Q27_Reduction_17.png,B
nv_mat_244,Q27_Reduction_18.png,B
nv_mat_245,Q27_Reduction_19.png,E
nv_mat_246,Q27_Reduction_20.png,E
nv_mat_247,Q27_Reduction_21.png,A
nv_mat_248,Q27_Reduction_22.png,E
nv_mat_249,Q27_Reduction_23.png,B
nv_mat_250,Q27_Reduction_24.png,B
nv_mat_251,Q27_Reduction_25.png,D
nv_mat_252,Q27_Reduction_26.png,B
nv_mat_253,Q27_Reduction_27.png,C
nv_mat_254,Q27_Reduction_28.png,C
nv_mat_255,Q27_Reduction_29.png,A
nv_mat_256,Q27_Reduction_30.png,B
nv_mat_257,Q27_Reduction_31.png,A
nv_mat_258,Q27_Reduction_32.png,C
nv_mat_259,Q27_Reduction_33.png,B
nv_mat_260,Q27_Reduction_34.png,A
nv_mat_261,Q27_Reduction_35.png,B
nv_mat_262,Q27_Reduction_36.png,E
nv_mat_263,Q27_Reduction_37.png,A
nv_mat_264,Q27_Reduction_38.png,D
nv_mat_265,Q27_Reduction_39.png,C
nv_mat_266,Q27_Reduction_40.png,E
nv_mat_267,Q27_Reduction_41.png,A
nv_mat_268,Q27_Reduction_42.png,B
nv_mat_269,Q27_Reduction_43.png,B
nv_mat_270,Q27_Reduction_44.png,A
nv_mat_271,Q27_Reduction_45.png,A
nv_mat_272,Q27_Reduction_46.png,D
nv_mat_273,Q27_Reduction_47.png,B
nv_mat_274,Q27_Reduction_48.png,C
nv_mat_275,Q27_Reduction_49.png,A
nv_mat_276,Q27_Reduction_50.png,B
nv_mat_277,Q28_Layering_1.png,D
nv_mat_278,Q28_Layering_2.png,D
nv_mat_279,Q28_Layering_3.png,A
nv_mat_280,Q28_Layering_4.png,B
nv_mat_281,Q28_Layering_5.png,D
nv_mat_282,Q28_Layering_6.png,A
nv_mat_283,Q28_Layering_7.png,A
nv_mat_284,Q28_Layering_8.png,E
nv_mat_285,Q28_Layering_9.png,E
nv_mat_286,Q28_Layering_10.png,B
nv_mat_287,Q28_Layering_11.png,A
nv_mat_288,Q28_Layering_12.png,E
nv_mat_289,Q28_Layering_13.png,C
nv_mat_290,Q28_Layering_14.png,E
nv_mat_291,Q28_Layering_15.png,E
nv_mat_292,Q28_Layering_16.png,C
nv_mat_293,Q28_Layering_17.png,E
nv_mat_294,Q28_Layering_18.png,D
nv_mat_295,Q28_Layering_19.png,E
nv_mat_296,Q28_Layering_20.png,B
nv_mat_297,Q28_Layering_21.png,D
nv_mat_298,Q28_Layering_22.png,C
nv_mat_299,Q28_Layering_23.png,B
nv_mat_300,Q28_Layering_24.png,E
nv_mat_301,Q28_Layering_25.png,A
nv_mat_302,Q28_Layering_26.png,B
nv_mat_303,Q28_Layering_27.png,A
nv_mat_304,Q28_Layering_28.png,E
nv_mat_305,Q28_Layering_29.png,C
nv_mat_306,Q28_Layering_30.png,C
nv_mat_307,Q28_Layering_31.png,D
nv_mat_308,Q28_Layering_32.png,A
nv_mat_309,Q28_Layering_33.png,B
nv_mat_310,Q28_Layering_34.png,D
nv_mat_311,Q28_Layering_35.png,D
nv_mat_312,Q28_Layering_36.png,A
nv_mat_313,Q28_Layering_37.png,D
nv_mat_314,Q28_Layering_38.png,C
nv_mat_315,Q28_Layering_39.png,B
nv_mat_316,Q28_Layering_40.png,B
nv_mat_317,Q28_Layering_41.png,C
nv_mat_318,Q28_Layering_42.png,E
nv_mat_319,Q28_Layering_43.png,D
nv_mat_320,Q28_Layering_44.png,B
nv_mat_321,Q28_Layering_45.png,D
nv_mat_322,Q28_Layering_46.png,E
nv_mat_323,Q28_Layering_47.png,C
nv_mat_324,Q28_Layering_48.png,A
nv_mat_325,Q28_Layering_49.png,E
nv_mat_326,Q28_Layering_50.png,B
nv_mat_327,Q29_Complex_1.png,B
nv_mat_328,Q29_Complex_2.png,E
nv_mat_329,Q29_Complex_3.png,E
nv_mat_330,Q29_Complex_4.png,A
nv_mat_331,Q29_Complex_5.png,A
nv_mat_332,Q29_Complex_6.png,C
nv_mat_333,Q29_Complex_7.png,C
nv_mat_334,Q29_Complex_8.png,C
nv_mat_335,Q29_Complex_9.png,E
nv_mat_336,Q29_Complex_10.png,B
nv_mat_337,Q29_Complex_11.png,D
nv_mat_338,Q29_Complex_12.png,D
nv_mat_339,Q29_Complex_13.png,E
nv_mat_340,Q29_Complex_14.png,D
nv_mat_341,Q29_Complex_15.png,E
nv_mat_342,Q29_Complex_16.png,C
nv_mat_343,Q29_Complex_17.png,A
nv_mat_344,Q29_Complex_18.png,E
nv_mat_345,Q29_Complex_19.png,E
nv_mat_346,Q29_Complex_20.png,B
nv_mat_347,Q29_Complex_21.png,C
nv_mat_348,Q29_Complex_22.png,D
nv_mat_349,Q29_Complex_23.png,B
nv_mat_350,Q29_Complex_24.png,D
nv_mat_351,Q29_Complex_25.png,E
nv_mat_352,Q29_Complex_26.png,B
nv_mat_353,Q29_Complex_27.png,A
nv_mat_354,Q29_Complex_28.png,E
nv_mat_355,Q29_Complex_29.png,C
nv_mat_356,Q29_Complex_30.png,A
nv_mat_357,Q29_Complex_31.png,B
nv_mat_358,Q29_Complex_32.png,B
nv_mat_359,Q29_Complex_33.png,B
nv_mat_360,Q29_Complex_34.png,E
nv_mat_361,Q29_Complex_35.png,B
nv_mat_362,Q29_Complex_36.png,A
nv_mat_363,Q29_Complex_37.png,D
nv_mat_364,Q29_Complex_38.png,D
nv_mat_365,Q29_Complex_39.png,C
nv_mat_366,Q29_Complex_40.png,B
nv_mat_367,Q29_Complex_41.png,D
nv_mat_368,Q29_Complex_42.png,C
nv_mat_369,Q29_Complex_43.png,B
nv_mat_370,Q29_Complex_44.png,D
nv_mat_371,Q29_Complex_45.png,E
nv_mat_372,Q29_Complex_46.png,B
nv_mat_373,Q29_Complex_47.png,A
nv_mat_374,Q29_Complex_48.png,C
nv_mat_375,Q29_Complex_49.png,C
nv_mat_376,Q29_Complex_50.png,D
nv_mat_377,Q31_Fixed_1.png,E
nv_mat_378,Q31_Fixed_2.png,E
nv_mat_379,Q31_Fixed_3.png,A
nv_mat_380,Q31_Fixed_4.png,A
nv_mat_381,Q31_Fixed_5.png,C
nv_mat_382,Q31_Fixed_6.png,B
nv_mat_383,Q31_Fixed_7.png,B
nv_mat_384,Q31_Fixed_8.png,E
nv_mat_385,Q31_Fixed_9.png,A
nv_mat_386,Q31_Fixed_10.png,C
nv_mat_387,Q31_Fixed_11.png,A
nv_mat_388,Q31_Fixed_12.png,B
nv_mat_389,Q31_Fixed_13.png,E
nv_mat_390,Q31_Fixed_14.png,D
nv_mat_391,Q31_Fixed_15.png,D
nv_mat_392,Q31_Fixed_16.png,C
nv_mat_393,Q31_Fixed_17.png,C
nv_mat_394,Q31_Fixed_18.png,C
nv_mat_395,Q31_Fixed_19.png,B
nv_mat_396,Q31_Fixed_20.png,C
nv_mat_397,Q31_Fixed_21.png,E
nv_mat_398,Q31_Fixed_22.png,C
nv_mat_399,Q31_Fixed_23.png,B
nv_mat_400,Q31_Fixed_24.png,C
nv_mat_401,Q31_Fixed_25.png,A
nv_mat_402,Q31_Fixed_26.png,E
nv_mat_403,Q31_Fixed_27.png,E
nv_mat_404,Q31_Fixed_28.png,B
nv_mat_405,Q31_Fixed_29.png,B
nv_mat_406,Q31_Fixed_30.png,C
nv_mat_407,Q31_Fixed_31.png,E
nv_mat_408,Q31_Fixed_32.png,A
nv_mat_409,Q31_Fixed_33.png,B
nv_mat_410,Q31_Fixed_34.png,C
nv_mat_411,Q31_Fixed_35.png,C
nv_mat_412,Q31_Fixed_36.png,B
nv_mat_413,Q31_Fixed_37.png,C
nv_mat_414,Q31_Fixed_38.png,A
nv_mat_415,Q31_Fixed_39.png,B
nv_mat_416,Q31_Fixed_40.png,A
nv_mat_417,Q31_Fixed_41.png,C
nv_mat_418,Q31_Fixed_42.png,C
nv_mat_419,Q31_Fixed_43.png,C
nv_mat_420,Q31_Fixed_44.png,E
nv_mat_421,Q31_Fixed_45.png,E
nv_mat_422,Q31_Fixed_46.png,E
nv_mat_423,Q31_Fixed_47.png,B
nv_mat_424,Q31_Fixed_48.png,B
nv_mat_425,Q31_Fixed_49.png,D
nv_mat_426,Q31_Fixed_50.png,C